Sl No.,Name of the Contesting candidate,Party Affiliation,Votes Secured,Status,District,Municipal
4,RAJESHWARI BANDAM,INC,331,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
5,ANITHA AKKEMPALLY,IND,1,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
6,BANDA RAJESHWARI,IND,140,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
"WARD Name : 24 , Reserved for : UR(G), Total Voters in Municipality Ward : 1689 , Total Vaild Votes : 1056 , Rejected Votes : 4 , NOTA Votes : 3",,,,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
1,ANIL SHIRUPA,TRS,576,Elected,Jayashankar Bhupalpally,Jayashankar Bhupalpally
2,KISHOR UPPAGALLA,BJP,52,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
3,RATNAM BHAGYALAXMI,INC,82,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
4,VELISETTY RAJAIAH,CPM,346,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
"WARD Name : 25 , Reserved for : BC(G), Total Voters in Municipality Ward : 1701 , Total Vaild Votes : 1177 , Rejected Votes : 7 , NOTA Votes : 13",,,,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
1,DEVARAKONDA JYOTHI,BJP,26,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
2,BHASKAR GONE,TRS,281,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
3,SRINIVAS PONAKANTI,INC,289,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
4,SAJJANAPU SWAMY,CPI,498,Elected,Jayashankar Bhupalpally,Jayashankar Bhupalpally
5,MADHUKAR KOLIPAKA,IND,9,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
6,MARTA RANJITH,IND,74,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
7,RAJAIAH KURAKULA,IND,0,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
8,SANTHOSH NIMMATHI,IND,0,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
"WARD Name : 26 , Reserved for : UR(W), Total Voters in Municipality Ward : 1764 , Total Vaild Votes : 872 , Rejected Votes : 5 , NOTA Votes : 6",,,,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
1,KETHA ALLAM,BJP,40,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
2,KOTHAPALLY SHARADA,CPI,27,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
3,TUMMETI SUCHARITA,TRS,259,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
4,MOUNIKA JAAPATHI,INC,82,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
5,RADHA DURGAM,IND,102,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
6,HARIKA PANUGANTI,IND,362,Elected,Jayashankar Bhupalpally,Jayashankar Bhupalpally
"WARD Name : 27 , Reserved for : UR(G), Total Voters in Municipality Ward : 1682 , Total Vaild Votes : 873 , Rejected Votes : 7 , NOTA Votes : 7",,,,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
1,AHMAD PASHA MOHAMMAD,AIFB,192,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
2,GANDRA HARISH,TRS,661,Elected,Jayashankar Bhupalpally,Jayashankar Bhupalpally
3,KUSUMA CHANDRASHEKAR,IND,20,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
"WARD Name : 28 , Reserved for : UR(W), Total Voters in Municipality Ward : 1751 , Total Vaild Votes : 772 , Rejected Votes : 5 , NOTA Votes : 6",,,,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
1,DEVENDRA PEDDIREDDY,TRS,290,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
2,NAGULA SUPRAJA,BJP,40,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
3,BHULAKSHMI NUKALA,CPI,442,Elected,Jayashankar Bhupalpally,Jayashankar Bhupalpally
"WARD Name : 29 , Reserved for : SC(W), Total Voters in Municipality Ward : 1737 , Total Vaild Votes : 1143 , Rejected Votes : 27 , NOTA Votes : 7",,,,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
1,KORIMI SUGUNA,CPI,173,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
2,CHALLURI MAMATHA,TRS,293,Elected,Jayashankar Bhupalpally,Jayashankar Bhupalpally
3,PULLA DEVI,INC,77,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
4,MALLIKA ERLA,BJP,115,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
5,KOLIKAPONGU RENUKA,IND,180,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
6,PANUGANTI PRAMEELA,IND,30,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
7,PULLA SUNITHA,IND,39,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
8,MANDA SANDYA RANI,IND,0,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
9,LATHA ALLURI,IND,236,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
"WARD Name : 30 , Reserved for : UR(W), Total Voters in Municipality Ward : 1661 , Total Vaild Votes : 1048 , Rejected Votes : 6 , NOTA Votes : 7",,,,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
1,KAMALA MADA,TRS,599,Elected,Jayashankar Bhupalpally,Jayashankar Bhupalpally
2,VIJAYA LAXMI KARRA,BJP,28,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
3,VENNAPUREDDY RAJESHWARI,INC,252,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
4,SIRLA RAMADEVI,AIFB,169,,Jayashankar Bhupalpally,Jayashankar Bhupalpally
"WARD Name : 1 , Reserved for : UR(W), Total Voters in Municipality Ward : 1053 , Total Vaild Votes : 936 , Rejected Votes : 18 , NOTA Votes : 4",,,,,Jogallamba,Waddapalle
1,R SARANDA,TRS,435,,Jogallamba,Waddapalle
2,B SUJATHA,INC,501,Elected,Jogallamba,Waddapalle
"WARD Name : 2 , Reserved for : SC(W), Total Voters in Municipality Ward : 976 , Total Vaild Votes : 874 , Rejected Votes : 20 , NOTA Votes : 5",,,,,Jogallamba,Waddapalle
1,NIRMALAMMA,TRS,426,,Jogallamba,Waddapalle
2,HARIJANA SUJATHA,INC,448,Elected,Jogallamba,Waddapalle
"WARD Name : 3 , Reserved for : ST(G), Total Voters in Municipality Ward : 1107 , Total Vaild Votes : 838 , Rejected Votes : 10 , NOTA Votes : 5",,,,,Jogallamba,Waddapalle
1,ARUKALI VENKATESHWARLU,BJP,15,,Jogallamba,Waddapalle
2,YERUKALI ANJANEYULU,INC,467,Elected,Jogallamba,Waddapalle
3,YERUKALI SAVARI,TRS,356,,Jogallamba,Waddapalle
"WARD Name : 4 , Reserved for : SC(G), Total Voters in Municipality Ward : 1024 , Total Vaild Votes : 852 , Rejected Votes : 17 , NOTA Votes : 3",,,,,Jogallamba,Waddapalle
1,ANJANAMMA,TRS,333,,Jogallamba,Waddapalle
2,HARIJANA DEVAMMA,INC,387,Elected,Jogallamba,Waddapalle
3,SWAPNA,IND,132,,Jogallamba,Waddapalle
"WARD Name : 5 , Reserved for : BC(G), Total Voters in Municipality Ward : 979 , Total Vaild Votes : 830 , Rejected Votes : 25 , NOTA Votes : 5",,,,,Jogallamba,Waddapalle
1,KURVA RAMANJANEYULU,TRS,274,,Jogallamba,Waddapalle
2,MANIKYAM RAVI KUMAR,INC,556,Elected,Jogallamba,Waddapalle
"WARD Name : 6 , Reserved for : UR(G), Total Voters in Municipality Ward : 896 , Total Vaild Votes : 760 , Rejected Votes : 15 , NOTA Votes : 2",,,,,Jogallamba,Waddapalle
1,BOYA RAMUDU,BJP,5,,Jogallamba,Waddapalle
2,MANIKYAM LALITHA,INC,522,Elected,Jogallamba,Waddapalle
3,N RENUKA VARDAN REDDY,TRS,233,,Jogallamba,Waddapalle
"WARD Name : 7 , Reserved for : UR(G), Total Voters in Municipality Ward : 961 , Total Vaild Votes : 741 , Rejected Votes : 13 , NOTA Votes : 6",,,,,Jogallamba,Waddapalle
1,N AJAY KUMAR,TRS,361,Elected,Jogallamba,Waddapalle
2,S KALEEMULLAH,AIMIM,18,,Jogallamba,Waddapalle
3,TALASILA SREENIVASA RAO,BJP,4,,Jogallamba,Waddapalle
4,M VEDAVATHI,INC,358,,Jogallamba,Waddapalle
"WARD Name : 8 , Reserved for : BC(W), Total Voters in Municipality Ward : 737 , Total Vaild Votes : 555 , Rejected Votes : 13 , NOTA Votes : 0",,,,,Jogallamba,Waddapalle
1,BOYA SUJATHA,BJP,3,,Jogallamba,Waddapalle
2,LAXMIDEVI,TRS,345,Elected,Jogallamba,Waddapalle
3,SOMESWARAMMA,INC,207,,Jogallamba,Waddapalle
"WARD Name : 9 , Reserved for : UR(W), Total Voters in Municipality Ward : 980 , Total Vaild Votes : 808 , Rejected Votes : 19 , NOTA Votes : 5",,,,,Jogallamba,Waddapalle
1,RS KARUNA,INC,536,Elected,Jogallamba,Waddapalle
2,BHASUTKAR RAJINI,BJP,9,,Jogallamba,Waddapalle
3,RAJIYA,AIMIM,6,,Jogallamba,Waddapalle
4,N RAMADEVI,TRS,257,,Jogallamba,Waddapalle
"WARD Name : 10 , Reserved for : UR(W), Total Voters in Municipality Ward : 862 , Total Vaild Votes : 705 , Rejected Votes : 3 , NOTA Votes : 0",,,,,Jogallamba,Waddapalle
1,TALASILA JYOTHI,BJP,8,,Jogallamba,Waddapalle
2,K DHANALAXMI,INC,415,Elected,Jogallamba,Waddapalle
3,NAGAMMA,TRS,282,,Jogallamba,Waddapalle
"WARD Name : 1 , Reserved for : BC(W), Total Voters in Municipality Ward : 974 , Total Vaild Votes : 877 , Rejected Votes : 11 , NOTA Votes : 1",,,,,Jogallamba,Leeja
1,SHARADHA TELUGU,INC,19,,Jogallamba,Leeja
2,SAROJAMMA,AIFB,262,,Jogallamba,Leeja
3,SUVARNAMMA,TRS,596,Elected,Jogallamba,Leeja
"WARD Name : 2 , Reserved for : UR(W), Total Voters in Municipality Ward : 888 , Total Vaild Votes : 771 , Rejected Votes : 9 , NOTA Votes : 1",,,,,Jogallamba,Leeja
1,GOWSIYA BEGUM,INC,62,,Jogallamba,Leeja
2,JULKHA BEGUM SHAIK,AIFB,439,Elected,Jogallamba,Leeja
3,MD DARVESH BEE SHEK,TRS,270,,Jogallamba,Leeja
"WARD Name : 3 , Reserved for : SC(G), Total Voters in Municipality Ward : 1010 , Total Vaild Votes : 919 , Rejected Votes : 14 , NOTA Votes : 5",,,,,Jogallamba,Leeja
1,S ARUNA,BJP,44,,Jogallamba,Leeja
2,S ANJANEYULU,TDP,3,,Jogallamba,Leeja
3,DEVARAJU,INC,504,Elected,Jogallamba,Leeja
4,S RAJU,AIFB,233,,Jogallamba,Leeja
5,S SHESHANNA,TRS,117,,Jogallamba,Leeja
6,S SWAMYDAS,TJSP,2,,Jogallamba,Leeja
7,T ANAND RAO,IND,4,,Jogallamba,Leeja
8,BHARATHI,IND,12,,Jogallamba,Leeja
"WARD Name : 4 , Reserved for : SC(W), Total Voters in Municipality Ward : 1006 , Total Vaild Votes : 877 , Rejected Votes : 16 , NOTA Votes : 1",,,,,Jogallamba,Leeja
1,AKSHITHA,AIFB,280,,Jogallamba,Leeja
2,KALLUKUNTA NAGAMMA,INC,335,Elected,Jogallamba,Leeja
3,T PUSHPA,TDP,3,,Jogallamba,Leeja
4,VABANAGIRI MALLAMMA,TRS,251,,Jogallamba,Leeja
5,SARASWATHI,BJP,8,,Jogallamba,Leeja
"WARD Name : 5 , Reserved for : UR(G), Total Voters in Municipality Ward : 1027 , Total Vaild Votes : 973 , Rejected Votes : 25 , NOTA Votes : 1",,,,,Jogallamba,Leeja
1,K CHINNA NARSIMHULU,BJP,3,,Jogallamba,Leeja
2,K MANIKYAM,AIFB,263,,Jogallamba,Leeja
3,SRI RAMULU,TRS,369,Elected,Jogallamba,Leeja
4,E SURESH GOUD,INC,338,,Jogallamba,Leeja
"WARD Name : 6 , Reserved for : BC(G), Total Voters in Municipality Ward : 970 , Total Vaild Votes : 905 , Rejected Votes : 24 , NOTA Votes : 1",,,,,Jogallamba,Leeja
1,ANJANEYULU,AIFB,460,Elected,Jogallamba,Leeja
2,YANKANNA,TRS,402,,Jogallamba,Leeja
3,K RAJU KUMAR,BJP,8,,Jogallamba,Leeja
4,RANGANNA,TDP,3,,Jogallamba,Leeja
5,VADDE PANDURANGA,INC,32,,Jogallamba,Leeja
"WARD Name : 7 , Reserved for : UR(W), Total Voters in Municipality Ward : 1206 , Total Vaild Votes : 914 , Rejected Votes : 12 , NOTA Votes : 8",,,,,Jogallamba,Leeja
1,K JAYAMMA,BJP,23,,Jogallamba,Leeja
2,BHAGYALAXMI,AIFB,424,Elected,Jogallamba,Leeja
3,S RANI,INC,92,,Jogallamba,Leeja
4,B SAROJA,TRS,375,,Jogallamba,Leeja
"WARD Name : 8 , Reserved for : UR(W), Total Voters in Municipality Ward : 1045 , Total Vaild Votes : 835 , Rejected Votes : 7 , NOTA Votes : 2",,,,,Jogallamba,Leeja
1,EIDIGA MAHESHWARI,INC,215,,Jogallamba,Leeja
2,C MANJULA ALIAS C PADMAJA,BJP,26,,Jogallamba,Leeja
3,SARALA PAVANI,AIFB,396,Elected,Jogallamba,Leeja
4,G SUVARNA,TRS,195,,Jogallamba,Leeja
5,KARRE PAVITHRA,IND,3,,Jogallamba,Leeja
"WARD Name : 9 , Reserved for : SC(G), Total Voters in Municipality Ward : 1021 , Total Vaild Votes : 854 , Rejected Votes : 9 , NOTA Votes : 9",,,,,Jogallamba,Leeja
1,TANAGALA NAGARAJU,TDP,0,,Jogallamba,Leeja
2,NARSIMHUDU,AIFB,408,Elected,Jogallamba,Leeja
3,MADANNA,BJP,7,,Jogallamba,Leeja
4,MALA SURESH KUMAR,INC,53,,Jogallamba,Leeja
5,LAXMANNA,TRS,386,,Jogallamba,Leeja
"WARD Name : 10 , Reserved for : BC(W), Total Voters in Municipality Ward : 920 , Total Vaild Votes : 803 , Rejected Votes : 17 , NOTA Votes : 5",,,,,Jogallamba,Leeja
1,PALLAVI UPPARI,INC,133,,Jogallamba,Leeja
2,MYAKALA ANITHA,TRS,463,Elected,Jogallamba,Leeja
3,P RAMATULASI,BJP,23,,Jogallamba,Leeja
4,SUCHITHRA INJYOTHI,AIFB,184,,Jogallamba,Leeja
"WARD Name : 11 , Reserved for : UR(W), Total Voters in Municipality Ward : 972 , Total Vaild Votes : 842 , Rejected Votes : 11 , NOTA Votes : 1",,,,,Jogallamba,Leeja
1,UPPARI RAMESHWARAMMA,AIFB,295,,Jogallamba,Leeja
2,UPPARI VIJAYALAKSHMI,TRS,342,Elected,Jogallamba,Leeja
3,N I MERAMMA,INC,200,,Jogallamba,Leeja
4,M NEERAJA,IND,5,,Jogallamba,Leeja
"WARD Name : 12 , Reserved for : UR(W), Total Voters in Municipality Ward : 1052 , Total Vaild Votes : 860 , Rejected Votes : 9 , NOTA Votes : 4",,,,,Jogallamba,Leeja
1,R N KRISHNAVENI ALIAS MEKALA KRISHNAVENI,BJP,27,,Jogallamba,Leeja
2,MADAVI LATHA,AIFB,229,,Jogallamba,Leeja
3,P SARASWATHI,INC,128,,Jogallamba,Leeja
4,SUVARNA,TRS,476,Elected,Jogallamba,Leeja
"WARD Name : 13 , Reserved for : ST(G), Total Voters in Municipality Ward : 843 , Total Vaild Votes : 685 , Rejected Votes : 8 , NOTA Votes : 3",,,,,Jogallamba,Leeja
1,YERUKALI CHINNA JAYANNA,TRS,288,,Jogallamba,Leeja
2,YERUKALI NAGARAJU,INC,46,,Jogallamba,Leeja
3,VENKATESH,AIFB,351,Elected,Jogallamba,Leeja
"WARD Name : 14 , Reserved for : UR(G), Total Voters in Municipality Ward : 1020 , Total Vaild Votes : 899 , Rejected Votes : 12 , NOTA Votes : 6",,,,,Jogallamba,Leeja
1,CHAKALI NAGANNA,TDP,2,,Jogallamba,Leeja
2,RAVI KUMAR,TRS,199,,Jogallamba,Leeja
3,SRINIVAS REDDY,BJP,2,,Jogallamba,Leeja
4,SHEKHAR,INC,82,,Jogallamba,Leeja
5,CM SURESH,AIFB,614,Elected,Jogallamba,Leeja
"WARD Name : 15 , Reserved for : SC(W), Total Voters in Municipality Ward : 1075 , Total Vaild Votes : 953 , Rejected Votes : 20 , NOTA Votes : 1",,,,,Jogallamba,Leeja
1,V ANUMAKKA,TRS,196,,Jogallamba,Leeja
2,PRAMILA ALIAS V PRAMILA,BJP,77,,Jogallamba,Leeja
3,S RANEMMA,INC,589,Elected,Jogallamba,Leeja
4,HEMALATHA,TDP,18,,Jogallamba,Leeja
5,SAROJAMMA,IND,34,,Jogallamba,Leeja
6,SANDYAPOGU GORANTLA SULOCHANA,IND,39,,Jogallamba,Leeja
"WARD Name : 16 , Reserved for : SC(G), Total Voters in Municipality Ward : 1019 , Total Vaild Votes : 1020 , Rejected Votes : 10 , NOTA Votes : 0",,,,,Jogallamba,Leeja
1,ANJANEYULU,TDP,42,,Jogallamba,Leeja
2,CHINNA DEVANNA,TRS,425,Elected,Jogallamba,Leeja
3,MADDILETI,INC,269,,Jogallamba,Leeja
4,YUGANDER GUPATI,BJP,58,,Jogallamba,Leeja
5,RAJU NARAYANA,AIFB,214,,Jogallamba,Leeja
6,V PRATHAP,IND,12,,Jogallamba,Leeja
"WARD Name : 17 , Reserved for : UR(G), Total Voters in Municipality Ward : 1100 , Total Vaild Votes : 844 , Rejected Votes : 5 , NOTA Votes : 3",,,,,Jogallamba,Leeja
1,P MADUSUDHAN REDDY,INC,109,,Jogallamba,Leeja
2,LAL BASHA KATIKE,TRS,270,,Jogallamba,Leeja
3,VIJAY KUMAR,BJP,17,,Jogallamba,Leeja
4,M SHASHIKALA,AIFB,337,Elected,Jogallamba,Leeja
5,CHAKALI ANJANEYULU,IND,111,,Jogallamba,Leeja
6,RAMANUJAN BARIGELA,IND,0,,Jogallamba,Leeja
"WARD Name : 18 , Reserved for : UR(G), Total Voters in Municipality Ward : 868 , Total Vaild Votes : 721 , Rejected Votes : 12 , NOTA Votes : 1",,,,,Jogallamba,Leeja
1,TAPPA THIMMAPPA,INC,133,,Jogallamba,Leeja
2,NARSHIMULU,AIFB,329,Elected,Jogallamba,Leeja
3,E BHUPATHI GOUD,TRS,235,,Jogallamba,Leeja
4,K SHIVA KUMAR,BJP,24,,Jogallamba,Leeja
"WARD Name : 19 , Reserved for : BC(G), Total Voters in Municipality Ward : 1003 , Total Vaild Votes : 870 , Rejected Votes : 8 , NOTA Votes : 2",,,,,Jogallamba,Leeja
1,V ASHOK,BJP,6,,Jogallamba,Leeja
2,KAMMARI SHAIKSHAVALI ACHARY,INC,409,Elected,Jogallamba,Leeja
3,E NAGANNA GOUD,TRS,354,,Jogallamba,Leeja
4,SRINIVASULU,AIFB,101,,Jogallamba,Leeja
"WARD Name : 20 , Reserved for : UR(W), Total Voters in Municipality Ward : 1065 , Total Vaild Votes : 887 , Rejected Votes : 11 , NOTA Votes : 7",,,,,Jogallamba,Leeja
1,K KURSHEED BEGUM,TRS,228,,Jogallamba,Leeja
2,CHAKALI NAGAMMA,INC,99,,Jogallamba,Leeja
3,M HUSEEN BEE,AIFB,560,Elected,Jogallamba,Leeja
"WARD Name : 1 , Reserved for : UR(W), Total Voters in Municipality Ward : 1225 , Total Vaild Votes : 1044 , Rejected Votes : 15 , NOTA Votes : 4",,,,,Jogallamba,Gadwal
1,EEDAMMA,TRS,491,,Jogallamba,Gadwal
2,B Manikyamma,BJP,553,Elected,Jogallamba,Gadwal
"WARD Name : 2 , Reserved for : UR(W), Total Voters in Municipality Ward : 1686 , Total Vaild Votes : 1117 , Rejected Votes : 17 , NOTA Votes : 12",,,,,Jogallamba,Gadwal
1,KUMMARI PUSPAVATHI,TRS,410,,Jogallamba,Gadwal
2,UPPALA VENKATESHWARAMMA,BJP,131,,Jogallamba,Gadwal
3,M. LAXMI NARSAMMA,IND,576,Elected,Jogallamba,Gadwal
"WARD Name : 3 , Reserved for : UR(W), Total Voters in Municipality Ward : 1722 , Total Vaild Votes : 1130 , Rejected Votes : 20 , NOTA Votes : 11",,,,,Jogallamba,Gadwal
1,M GEETHAMMA M,TRS,813,Elected,Jogallamba,Gadwal
2,LAXMI DEVI,BJP,245,,Jogallamba,Gadwal
3,K RADHA,TDP,72,,Jogallamba,Gadwal
"WARD Name : 4 , Reserved for : UR(G), Total Voters in Municipality Ward : 1553 , Total Vaild Votes : 1338 , Rejected Votes : 29 , NOTA Votes : 0",,,,,Jogallamba,Gadwal
1,B. SUNIL,INC,15,,Jogallamba,Gadwal
2,KAVALI BOYA NARSIMULU,BJP,731,Elected,Jogallamba,Gadwal
3,SATHISH,TRS,592,,Jogallamba,Gadwal
"WARD Name : 5 , Reserved for : SC(W), Total Voters in Municipality Ward : 1513 , Total Vaild Votes : 1305 , Rejected Votes : 32 , NOTA Votes : 1",,,,,Jogallamba,Gadwal
1,JANAMMA,IND,15,,Jogallamba,Gadwal
2,DWARAKA RANI,TRS,608,,Jogallamba,Gadwal
3,D KEERTHI,INC,8,,Jogallamba,Gadwal
4,SHARADA,BJP,674,Elected,Jogallamba,Gadwal
"WARD Name : 6 , Reserved for : UR(W), Total Voters in Municipality Ward : 1651 , Total Vaild Votes : 1085 , Rejected Votes : 14 , NOTA Votes : 11",,,,,Jogallamba,Gadwal
1,A. NAGALATHA,TRS,557,Elected,Jogallamba,Gadwal
2,SWAPNA. B,INC,36,,Jogallamba,Gadwal
3,NAGAMMA,BJP,492,,Jogallamba,Gadwal
"WARD Name : 7 , Reserved for : BC(G), Total Voters in Municipality Ward : 1713 , Total Vaild Votes : 1484 , Rejected Votes : 42 , NOTA Votes : 5",,,,,Jogallamba,Gadwal
1,KRISHNA,IND,466,,Jogallamba,Gadwal
2,T. DOULU,TRS,711,Elected,Jogallamba,Gadwal
3,NARSHIMULU,BJP,307,,Jogallamba,Gadwal
"WARD Name : 8 , Reserved for : UR(W), Total Voters in Municipality Ward : 1633 , Total Vaild Votes : 1238 , Rejected Votes : 41 , NOTA Votes : 5",,,,,Jogallamba,Gadwal
1,JAYAMMA,TRS,678,Elected,Jogallamba,Gadwal
2,S. RAJESHWARAMMA,BJP,521,,Jogallamba,Gadwal
3,CHINNA LAXMI,INC,33,,Jogallamba,Gadwal
4,SAMEENA,AIMIM,6,,Jogallamba,Gadwal
"WARD Name : 9 , Reserved for : BC(G), Total Voters in Municipality Ward : 1522 , Total Vaild Votes : 1265 , Rejected Votes : 17 , NOTA Votes : 2",,,,,Jogallamba,Gadwal
1,MD. RAFI,AIMIM,8,,Jogallamba,Gadwal
2,B SUHASINI,INC,9,,Jogallamba,Gadwal
3,A RAVI KUMAR,BJP,454,,Jogallamba,Gadwal
4,S SREEMAN NARAYANA,TRS,793,Elected,Jogallamba,Gadwal
5,P. Srinivasulu,IND,1,,Jogallamba,Gadwal
"WARD Name : 10 , Reserved for : BC(W), Total Voters in Municipality Ward : 1502 , Total Vaild Votes : 1151 , Rejected Votes : 18 , NOTA Votes : 6",,,,,Jogallamba,Gadwal
1,ALIYA BEGUM,INC,586,Elected,Jogallamba,Gadwal
2,JAMUNA,BJP,73,,Jogallamba,Gadwal
3,CHAND BEE,TRS,492,,Jogallamba,Gadwal
"WARD Name : 11 , Reserved for : BC(W), Total Voters in Municipality Ward : 1589 , Total Vaild Votes : 1232 , Rejected Votes : 17 , NOTA Votes : 3",,,,,Jogallamba,Gadwal
1,MALEEM UZMA,TRS,514,,Jogallamba,Gadwal
2,WASEEMA BEGUM,INC,609,Elected,Jogallamba,Gadwal
3,SRI DEVI,BJP,109,,Jogallamba,Gadwal
"WARD Name : 12 , Reserved for : BC(W), Total Voters in Municipality Ward : 1583 , Total Vaild Votes : 1261 , Rejected Votes : 21 , NOTA Votes : 7",,,,,Jogallamba,Gadwal
1,JAYAMMA,BJP,408,,Jogallamba,Gadwal
2,ANJANAMMA,INC,46,,Jogallamba,Gadwal
3,GIRIJA BAI,TRS,807,Elected,Jogallamba,Gadwal
"WARD Name : 13 , Reserved for : UR(G), Total Voters in Municipality Ward : 1752 , Total Vaild Votes : 1350 , Rejected Votes : 14 , NOTA Votes : 4",,,,,Jogallamba,Gadwal
1,B PARVATHI,INC,273,,Jogallamba,Gadwal
2,D LAXMINARAYAN REDDY,TRS,349,,Jogallamba,Gadwal
3,SRINIVASULU,BJP,728,Elected,Jogallamba,Gadwal
"WARD Name : 14 , Reserved for : SC(G), Total Voters in Municipality Ward : 1657 , Total Vaild Votes : 1287 , Rejected Votes : 28 , NOTA Votes : 5",,,,,Jogallamba,Gadwal
1,S RAJ KUMAR,IND,12,,Jogallamba,Gadwal
2,CHINNA KURMANNA,BJP,45,,Jogallamba,Gadwal
3,SUDHAKAR MALLEPOGU,CPI,18,,Jogallamba,Gadwal
4,B SHANKAR,INC,744,Elected,Jogallamba,Gadwal
5,CHINNA THIMMANNA,TDP,6,,Jogallamba,Gadwal
6,LAXMANNA,TRS,462,,Jogallamba,Gadwal
7,Rajendhra,IND,0,,Jogallamba,Gadwal
"WARD Name : 15 , Reserved for : SC(W), Total Voters in Municipality Ward : 1648 , Total Vaild Votes : 1287 , Rejected Votes : 13 , NOTA Votes : 8",,,,,Jogallamba,Gadwal
1,BANGI PRIYANAKA,AIMIM,675,Elected,Jogallamba,Gadwal
2,A. ASWINI,TRS,227,,Jogallamba,Gadwal
3,JAYAMMA,IND,5,,Jogallamba,Gadwal
4,MANEMMA,INC,380,,Jogallamba,Gadwal
"WARD Name : 16 , Reserved for : UR(W), Total Voters in Municipality Ward : 1697 , Total Vaild Votes : 989 , Rejected Votes : 12 , NOTA Votes : 10",,,,,Jogallamba,Gadwal
1,MULKALAPALLE SRILATHA,BJP,395,,Jogallamba,Gadwal
2,SINGI REDDY ANITHA,TRS,554,Elected,Jogallamba,Gadwal
3,VIJAYA LAXMI MARLAVIDU,INC,30,,Jogallamba,Gadwal
4,K LALITHAMMA,TDP,10,,Jogallamba,Gadwal
"WARD Name : 17 , Reserved for : UR(G), Total Voters in Municipality Ward : 1666 , Total Vaild Votes : 1098 , Rejected Votes : 15 , NOTA Votes : 14",,,,,Jogallamba,Gadwal
1,P THYAGARAJU,BJP,653,Elected,Jogallamba,Gadwal
2,KOTHA KAPU CHAKRADHAR REDDY,TRS,445,,Jogallamba,Gadwal
"WARD Name : 18 , Reserved for : UR(G), Total Voters in Municipality Ward : 1517 , Total Vaild Votes : 944 , Rejected Votes : 9 , NOTA Votes : 4",,,,,Jogallamba,Gadwal
1,A SARALAMMA,BJP,198,,Jogallamba,Gadwal
2,SHESHA CHARI A,IND,33,,Jogallamba,Gadwal
3,G. KARTHIK YADAV,IND,4,,Jogallamba,Gadwal
4,M.D Ismail,IND,9,,Jogallamba,Gadwal
5,B. Hemakar,IND,83,,Jogallamba,Gadwal
6,E NARAHARI GOUD,TRS,557,Elected,Jogallamba,Gadwal
7,Hafiz Mahamed,INC,60,,Jogallamba,Gadwal
"WARD Name : 19 , Reserved for : UR(G), Total Voters in Municipality Ward : 1574 , Total Vaild Votes : 857 , Rejected Votes : 7 , NOTA Votes : 4",,,,,Jogallamba,Gadwal
1,C. BHEEMSEN RAO,IND,105,,Jogallamba,Gadwal
2,T. RAMANJANEYULU,BJP,495,Elected,Jogallamba,Gadwal
3,C. SANTOSH KUMAR,TRS,239,,Jogallamba,Gadwal
4,N. ARUNA KUMARI,INC,18,,Jogallamba,Gadwal
"WARD Name : 20 , Reserved for : UR(W), Total Voters in Municipality Ward : 1651 , Total Vaild Votes : 897 , Rejected Votes : 12 , NOTA Votes : 5",,,,,Jogallamba,Gadwal
1,MAHESHWARI,TRS,621,Elected,Jogallamba,Gadwal
2,M. Soumya Kumari,BJP,186,,Jogallamba,Gadwal
